308.856, 129.491, 4.292,  4.379 False
308.712, 129.491, 4.323,  4.412 False
308.567, 129.491, 4.355,  4.445 False
308.421, 129.491, 4.386,  4.478 False
308.274, 129.492, 4.418,  4.511 False
308.126, 129.492, 4.449,  4.544 False
307.977, 129.492, 4.480,  4.577 False
307.827, 129.492, 4.511,  4.610 False
307.676, 129.492, 4.541,  4.643 False
307.524, 129.492, 4.572,  4.676 False
307.371, 129.492, 4.603,  4.709 False
307.216, 129.492, 4.634,  4.742 False
307.061, 129.492, 4.665,  4.775 False
306.905, 129.492, 4.695,  4.808 False
306.748, 129.492, 4.726,  4.841 False
306.589, 129.494, 4.755,  4.874 False
306.430, 129.497, 4.785,  4.907 False
306.270, 129.500, 4.816,  4.940 False
306.109, 129.503, 4.848,  4.973 False
305.946, 129.507, 4.878,  5.006 False
305.783, 129.511, 4.909,  5.039 False
305.619, 129.516, 4.940,  5.072 False
305.453, 129.519, 4.971,  5.105 False
305.287, 129.524, 5.002,  5.138 False
305.119, 129.530, 5.033,  5.171 False
304.951, 129.536, 5.063,  5.204 False
304.781, 129.541, 5.094,  5.237 False
304.611, 129.548, 5.124,  5.270 False
304.439, 129.554, 5.153,  5.303 False
304.267, 129.562, 5.175,  5.336 False
304.095, 129.570, 5.179,  5.369 False
303.923, 129.578, 5.172,  5.402 False
303.751, 129.586, 5.170,  5.435 False
303.579, 129.593, 5.179,  5.468 False
303.406, 129.601, 5.196,  5.501 False
303.232, 129.608, 5.221,  5.534 False
303.058, 129.616, 5.252,  5.567 False
302.882, 129.624, 5.288,  5.600 False
302.705, 129.632, 5.326,  5.633 False
302.526, 129.640, 5.367,  5.666 False
302.346, 129.648, 5.408,  5.699 False
302.165, 129.656, 5.450,  5.732 False
301.982, 129.664, 5.491,  5.765 False
301.798, 129.673, 5.533,  5.798 False
301.613, 129.682, 5.573,  5.831 False
301.426, 129.691, 5.614,  5.864 False
301.238, 129.700, 5.653,  5.897 False
301.049, 129.711, 5.691,  5.930 False
300.859, 129.721, 5.728,  5.963 False
300.667, 129.733, 5.766,  5.996 False
300.474, 129.744, 5.802,  6.029 False
300.280, 129.754, 5.838,  6.062 False
300.085, 129.765, 5.873,  6.095 False
299.889, 129.776, 5.908,  6.128 False
299.691, 129.787, 5.942,  6.161 False
299.493, 129.798, 5.976,  6.194 False
299.293, 129.809, 6.010,  6.227 False
299.092, 129.820, 6.044,  6.260 False
298.890, 129.832, 6.077,  6.293 False
298.687, 129.843, 6.111,  6.326 False
298.483, 129.855, 6.144,  6.359 False
298.277, 129.866, 6.177,  6.392 False
298.071, 129.878, 6.209,  6.425 False
297.864, 129.890, 6.242,  6.458 False
297.655, 129.902, 6.274,  6.491 False
297.446, 129.914, 6.306,  6.524 False
297.235, 129.926, 6.338,  6.557 False
297.023, 129.939, 6.370,  6.590 False
296.810, 129.951, 6.401,  6.623 False
296.597, 129.963, 6.433,  6.656 False
296.382, 129.976, 6.465,  6.689 False
296.166, 129.988, 6.497,  6.722 False
295.949, 130.001, 6.527,  6.755 False
295.731, 130.014, 6.559,  6.788 False
295.512, 130.027, 6.590,  6.821 False
295.292, 130.040, 6.621,  6.854 False
295.071, 130.053, 6.651,  6.887 False
294.849, 130.066, 6.683,  6.920 False
294.626, 130.079, 6.713,  6.953 False
294.402, 130.093, 6.744,  6.986 False
294.176, 130.106, 6.774,  7.019 False
293.950, 130.120, 6.804,  7.052 False
293.723, 130.133, 6.834,  7.085 False
293.495, 130.148, 6.864,  7.118 False
293.266, 130.164, 6.894,  7.151 False
293.036, 130.178, 6.924,  7.184 False
292.805, 130.193, 6.954,  7.217 False
292.573, 130.208, 6.984,  7.250 False
292.340, 130.222, 7.013,  7.283 False
292.106, 130.237, 7.042,  7.316 False
291.871, 130.252, 7.071,  7.349 False
291.635, 130.266, 7.100,  7.382 False
291.398, 130.281, 7.128,  7.415 False
291.160, 130.297, 7.157,  7.448 False
290.921, 130.314, 7.186,  7.481 False
290.681, 130.329, 7.216,  7.514 False
290.441, 130.345, 7.245,  7.547 False
290.199, 130.360, 7.275,  7.580 False
289.956, 130.376, 7.304,  7.613 False
289.713, 130.391, 7.334,  7.646 False
289.468, 130.407, 7.363,  7.679 False
289.222, 130.422, 7.393,  7.712 False
288.976, 130.438, 7.421,  7.745 False
288.728, 130.453, 7.451,  7.778 False
288.479, 130.469, 7.479,  7.811 False
288.230, 130.485, 7.509,  7.844 False
287.979, 130.500, 7.537,  7.877 False
287.728, 130.516, 7.567,  7.910 False
287.475, 130.531, 7.594,  7.943 False
287.222, 130.547, 7.624,  7.976 False
286.968, 130.562, 7.652,  8.009 False
286.712, 130.578, 7.682,  8.042 False
286.456, 130.593, 7.710,  8.075 False
286.199, 130.609, 7.740,  8.108 False
285.940, 130.624, 7.768,  8.141 False
285.681, 130.639, 7.798,  8.174 False
285.421, 130.655, 7.827,  8.207 False
285.160, 130.670, 7.857,  8.240 False
284.898, 130.685, 7.885,  8.273 False
284.634, 130.699, 7.914,  8.306 False
284.370, 130.712, 7.943,  8.339 False
284.105, 130.726, 7.973,  8.372 False
283.839, 130.739, 8.002,  8.405 False
283.572, 130.751, 8.033,  8.438 False
283.303, 130.764, 8.062,  8.471 False
283.034, 130.775, 8.091,  8.504 False
282.764, 130.785, 8.119,  8.537 False
282.493, 130.793, 8.149,  8.570 False
282.220, 130.801, 8.178,  8.603 False
281.947, 130.808, 8.208,  8.636 False
281.673, 130.813, 8.234,  8.669 False
281.398, 130.821, 8.254,  8.702 False
281.123, 130.827, 8.271,  8.735 False
280.847, 130.834, 8.283,  8.768 False
280.571, 130.840, 8.294,  8.801 False
280.294, 130.846, 8.302,  8.834 False
280.018, 130.851, 8.309,  8.867 False
279.741, 130.857, 8.315,  8.900 False
279.464, 130.861, 8.320,  8.933 False
279.186, 130.866, 8.324,  8.966 False
278.909, 130.870, 8.328,  8.999 False
278.632, 130.873, 8.331,  9.032 False
278.354, 130.877, 8.334,  9.065 False
278.076, 130.881, 8.337,  9.098 False
277.798, 130.884, 8.339,  9.131 False
277.520, 130.886, 8.340,  9.164 False
277.242, 130.889, 8.342,  9.197 False
276.964, 130.891, 8.344,  9.230 False
276.686, 130.892, 8.344,  9.263 False
276.408, 130.893, 8.345,  9.296 False
276.130, 130.893, 8.346,  9.329 False
